"","Name","NOGA6","NOGA2.x","NOGA1","X2015","y2020","DeltaP5b","Wgroup","Cluster","Sektortext","Dienstleistungslevel","Produktionslevel"
"115"," Reparatur und Lackieren von Carrosserien","452002","45","4","209","168","-19.61722488","1","Sonstige","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"116"," Grosshandel mit Automobilteilen und -zubeh√∂r","453100","45","4","79","86","8.860759494","3","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"117"," Detailhandel mit Automobilteilen und -zubeh√∂r","453200","45","4","26","31","19.23076923","3","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"118"," Handel mit Motorr√§dern, Kraftradteilen und -zubeh√∂r, Instandhaltung und Reparatur von Motorr√§dern","454000","45","4","59","49","-16.94915254","1","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"119"," Handelsvermittlung von Maschinen, technischem Bedarf, Wasser- und Luftfahrzeugen","461400","46","4","15","12","-20","1","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"120"," Handelsvermittlung von Nahrungsmitteln, Getr√§nken und Tabakwaren","461700","46","4","8","16","100","4","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"121"," Handelsvermittlung von Waren ohne ausgepr√§gten Schwerpunkt","461900","46","4","37","39","5.405405405","3","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"122"," Grosshandel mit Getreide, Rohtabak, Saatgut und Futtermitteln","462100","46","4","21","15","-28.57142857","0","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"123"," Grosshandel mit Obst, Gem√ºse und Kartoffeln","463100","46","4","9","5","-44.44444444","0","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"124"," Grosshandel mit Fleisch und Fleischwaren","463200","46","4","48","57","18.75","3","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"125"," Grosshandel mit Wein und Spirituosen","463401","46","4","30","21","-30","0","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
"126"," Grosshandel mit sonstigen Getr√§nken","463402","46","4","23","24","4.347826087","2","Handel","Terti‰rsektor (Dienstleistungssektor)","Sonstige Dienstleistungen","Non-Manufacturing"
