"","Name","NOGA6","NOGA2","NOGA1","2015","2020","DeltaP5b","Wgroup"
"147"," Grosshandel mit Software","465102","46","4",23,10,-56.5217391304348,"-2"
"148"," Grosshandel mit elektronischen Bauteilen und Telekommunikationsgeräten","465200","46","4",61,69,13.1147540983606,"1"
"149"," Grosshandel mit Büromöbeln","466500","46","4",35,21,-40,"-2"
"150"," Grosshandel mit sonstigen Büromaschinen und -einrichtungen","466600","46","4",17,12,-29.4117647058823,"-2"
"151"," Grosshandel mit sonstigen Maschinen und Ausrüstungen","466900","46","4",286,304,6.29370629370629,"1"
"152"," Grosshandel mit festen Brennstoffen und Mineralölerzeugnissen","467100","46","4",49,91,85.7142857142857,"2"
"153"," Grosshandel mit Erzen, Metallen und Metallhalbzeug","467200","46","4",98,87,-11.2244897959184,"-1"
"154"," Grosshandel mit Holz und Bauelementen aus Holz","467301","46","4",46,45,-2.17391304347826,"0"
"155"," Grosshandel mit Baustoffen","467302","46","4",151,104,-31.1258278145695,"-2"
"156"," Grosshandel mit Flachglas, Anstrichmitteln und Sanitärkeramik","467303","46","4",93,92,-1.0752688172043,"0"
"157"," Grosshandel mit Metall- und Kunststoffwaren für Bauzwecke sowie Installationsbedarf für Gas, Wasser und Heizung","467400","46","4",94,88,-6.38297872340425,"-1"
"158"," Grosshandel mit chemischen Erzeugnissen","467500","46","4",368,369,0.271739130434789,"0"
"159"," Grosshandel mit sonstigen Halbwaren","467600","46","4",34,21,-38.2352941176471,"-2"
"160"," Grosshandel ohne ausgeprägten Schwerpunkt","469000","46","4",354,342,-3.38983050847458,"0"
"161"," Verbrauchermärkte (> 2500 m2)","471101","47","4",178,202,13.4831460674157,"1"
"162"," Grosse Supermärkte (1000-2499 m2)","471102","47","4",357,548,53.5014005602241,"2"
"163"," Kleine Supermärkte (400-999 m2)","471103","47","4",552,624,13.0434782608696,"1"
"164"," Grosse Geschäfte (100-399 m2)","471104","47","4",315,270,-14.2857142857143,"-1"
"165"," Kleine Geschäfte (< 100 m2)","471105","47","4",55,102,85.4545454545455,"2"
"166"," Warenhäuser","471901","47","4",1122,724,-35.4723707664884,"-2"
"167"," Sonstiger Detailhandel mit Waren verschiedener Art a.n.g","471902","47","4",89,123,38.2022471910112,"2"
"168"," Detailhandel mit Obst, Gemüse und Kartoffeln","472100","47","4",17,31,82.3529411764706,"2"
"169"," Detailhandel mit Back- und Süsswaren","472401","47","4",274,246,-10.2189781021898,"-1"
"170"," Bäckereien - Tea-Rooms","472402","47","4",189,160,-15.3439153439153,"-1"
"171"," Detailhandel mit Getränken","472500","47","4",86,33,-61.6279069767442,"-2"
