,"Name","NOGA6","NOGA2","NOGA1","y2015","y2020","DeltaP5b","Wgroup","Cluster"
112," Handelsvermittlung und Grosshandel mit Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger","451101","45","4",10,7,"-30","0","Handel"
113," Detailhandel mit Automobilen mit einem Gesamtgewicht von 3,5 t oder weniger","451102","45","4",24,16,"-33.33333333","0","Handel"
114," Instandhaltung und Reparatur von Automobilen","452001","45","4",544,459,"-15.625","1","Sonstige"
115," Reparatur und Lackieren von Carrosserien","452002","45","4",209,168,"-19.61722488","1","Sonstige"
116," Grosshandel mit Automobilteilen und -zubehör","453100","45","4",79,86,"8.860759494","3","Handel"
117," Detailhandel mit Automobilteilen und -zubehör","453200","45","4",26,31,"19.23076923","3","Handel"
118," Handel mit Motorrädern, Kraftradteilen und -zubehör, Instandhaltung und Reparatur von Motorrädern","454000","45","4",59,49,"-16.94915254","1","Handel"
119," Handelsvermittlung von Maschinen, technischem Bedarf, Wasser- und Luftfahrzeugen","461400","46","4",15,12,"-20","1","Handel"
120," Handelsvermittlung von Nahrungsmitteln, Getränken und Tabakwaren","461700","46","4",8,16,"100","4","Handel"
121," Handelsvermittlung von Waren ohne ausgeprägten Schwerpunkt","461900","46","4",37,39,"5.405405405","3","Handel"
122," Grosshandel mit Getreide, Rohtabak, Saatgut und Futtermitteln","462100","46","4",21,15,"-28.57142857","0","Handel"
123," Grosshandel mit Obst, Gemüse und Kartoffeln","463100","46","4",9,5,"-44.44444444","0","Handel"
124," Grosshandel mit Fleisch und Fleischwaren","463200","46","4",48,57,"18.75","3","Handel"
125," Grosshandel mit Wein und Spirituosen","463401","46","4",30,21,"-30","0","Handel"
126," Grosshandel mit sonstigen Getränken","463402","46","4",23,24,"4.347826087","2","Handel"
127," Grosshandel mit Tabakwaren","463500","46","4",245,159,"-35.10204082","0","Handel"
128," Grosshandel mit sonstigen Nahrungs- und Genussmitteln","463800","46","4",142,108,"-23.94366197","0","Handel"
129," Grosshandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren, ohne ausgeprägten Schwerpunkt","463900","46","4",41,46,"12.19512195","3","Handel"
130," Grosshandel mit Textilien","464100","46","4",83,76,"-8.43373494","1","Handel"
131," Grosshandel mit Bekleidung","464201","46","4",305,319,"4.590163934","2","Handel"
132," Grosshandel mit Schuhen","464202","46","4",17,18,"5.882352941","3","Handel"
133," Grosshandel mit elektrischen Haushaltsgeräten","464301","46","4",89,16,"-82.02247191","0","Handel"
134," Grosshandel mit Geräten der Unterhaltungselektronik","464302","46","4",17,8,"-52.94117647","0","Handel"
135," Grosshandel mit keramischen Erzeugnissen, Glaswaren und Reinigungsmitteln","464400","46","4",34,32,"-5.882352941","1","Handel"
136," Grosshandel mit kosmetischen Erzeugnissen und Körperpflegemitteln","464500","46","4",46,61,"32.60869565","4","Handel"
137," Grosshandel mit pharmazeutischen Erzeugnissen","464601","46","4",1152,1603,"39.14930556","4","Handel"
138," Grosshandel mit medizinischen, chirurgischen und orthopädischen Erzeugnissen","464602","46","4",243,263,"8.230452675","3","Handel"
139," Grosshandel mit Möbeln, Teppichen, Lampen und Leuchten","464700","46","4",28,22,"-21.42857143","0","Handel"
140," Grosshandel mit Uhren","464801","46","4",226,192,"-15.04424779","1","Handel"
141," Grosshandel mit Schreibwaren, Büchern und Zeitungen","464901","46","4",71,14,"-80.28169014","0","Handel"
142," Grosshandel mit Sportartikeln","464903","46","4",29,24,"-17.24137931","1","Handel"
143," Grosshandel mit Geschenkartikeln und Souvenirs","464905","46","4",47,37,"-21.27659574","0","Handel"
144," Grosshandel mit sonstigen Gebrauchs- und Verbrauchsgütern a. n. g.","464906","46","4",15,6,"-60","0","Handel"
145," Grosshandel mit Datenverarbeitungsgeräten und peripheren Einheiten","465101","46","4",32,43,"34.375","4","Handel"
146," Grosshandel mit Software","465102","46","4",23,10,"-56.52173913","0","Handel"
147," Grosshandel mit elektronischen Bauteilen und Telekommunikationsgeräten","465200","46","4",61,69,"13.1147541","3","Handel"
148," Grosshandel mit Büromöbeln","466500","46","4",35,21,"-40","0","Handel"
149," Grosshandel mit sonstigen Büromaschinen und -einrichtungen","466600","46","4",17,12,"-29.41176471","0","Handel"
150," Grosshandel mit sonstigen Maschinen und Ausrüstungen","466900","46","4",286,304,"6.293706294","3","Handel"
151," Grosshandel mit festen Brennstoffen und Mineralölerzeugnissen","467100","46","4",49,91,"85.71428571","4","Handel"
152," Grosshandel mit Erzen, Metallen und Metallhalbzeug","467200","46","4",98,87,"-11.2244898","1","Handel"
153," Grosshandel mit Holz und Bauelementen aus Holz","467301","46","4",46,45,"-2.173913043","2","Handel"
154," Grosshandel mit Baustoffen","467302","46","4",151,104,"-31.12582781","0","Handel"
155," Grosshandel mit Flachglas, Anstrichmitteln und Sanitärkeramik","467303","46","4",93,92,"-1.075268817","2","Handel"
156," Grosshandel mit Metall- und Kunststoffwaren für Bauzwecke sowie Installationsbedarf für Gas, Wasser und Heizung","467400","46","4",94,88,"-6.382978723","1","Handel"
157," Grosshandel mit chemischen Erzeugnissen","467500","46","4",368,369,"0.27173913","2","Handel"
158," Grosshandel mit sonstigen Halbwaren","467600","46","4",34,21,"-38.23529412","0","Handel"
159," Grosshandel ohne ausgeprägten Schwerpunkt","469000","46","4",354,342,"-3.389830508","2","Handel"
160," Verbrauchermärkte (> 2500 m2)","471101","47","4",178,202,"13.48314607","3","Handel"
161," Grosse Supermärkte (1000-2499 m2)","471102","47","4",357,548,"53.50140056","4","Handel"
162," Kleine Supermärkte (400-999 m2)","471103","47","4",552,624,"13.04347826","3","Handel"
163," Grosse Geschäfte (100-399 m2)","471104","47","4",315,270,"-14.28571429","1","Handel"
164," Kleine Geschäfte (< 100 m2)","471105","47","4",55,102,"85.45454545","4","Handel"
165," Warenhäuser","471901","47","4",1122,724,"-35.47237077","0","Handel"
166," Sonstiger Detailhandel mit Waren verschiedener Art a.n.g","471902","47","4",89,123,"38.20224719","4","Handel"
167," Detailhandel mit Obst, Gemüse und Kartoffeln","472100","47","4",17,31,"82.35294118","4","Handel"
168," Detailhandel mit Back- und Süsswaren","472401","47","4",274,246,"-10.2189781","1","Handel"
169," Bäckereien - Tea-Rooms","472402","47","4",189,160,"-15.34391534","1","Handel"
170," Detailhandel mit Getränken","472500","47","4",86,33,"-61.62790698","0","Handel"
171," Detailhandel mit Tabakwaren","472600","47","4",27,20,"-25.92592593","0","Handel"
172," Detailhandel mit Milcherzeugnissen und Eiern","472901","47","4",9,14,"55.55555556","4","Handel"
173," Sonstiger Fachdetailhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren a. n. g. (in Verkaufsräumen)","472902","47","4",181,182,"0.552486188","2","Handel"
174," Detailhandel mit Motorenkraftstoffen (Tankstellen)","473000","47","4",125,119,"-4.8","2","Handel"
175," Detailhandel mit Datenverarbeitungsgeräten, peripheren Geräten und Software","474100","47","4",179,169,"-5.586592179","1","Handel"
176," Detailhandel mit Telekommunikationsgeräten","474200","47","4",34,46,"35.29411765","4","Handel"
177," Detailhandel mit Geräten der Unterhaltungselektronik","474300","47","4",249,123,"-50.60240964","0","Handel"
178," Detailhandel mit Textilien","475100","47","4",81,83,"2.469135802","2","Handel"
179," Sonstiger Detailhandel mit Metallwaren, Anstrichmitteln, Bau- und Heimwerkerbedarf","475202","47","4",185,150,"-18.91891892","1","Handel"
180," Detailhandel mit Vorhängen, Teppichen, Fussbodenbelägen und Tapeten","475300","47","4",21,7,"-66.66666667","0","Handel"
181," Detailhandel mit elektrischen Haushaltsgeräten","475400","47","4",41,34,"-17.07317073","1","Handel"
182," Detailhandel mit Musikinstrumenten","475901","47","4",51,36,"-29.41176471","0","Handel"
183," Detailhandel mit Möbeln","475902","47","4",162,118,"-27.16049383","0","Handel"
184," Detailhandel mit Einrichtungsgegenständen und Hausrat a. n. g.","475903","47","4",62,67,"8.064516129","3","Handel"
185," Detailhandel mit Büchern","476100","47","4",195,130,"-33.33333333","0","Handel"
186," Detailhandel mit Zeitschriften und Zeitungen, Kioske","476201","47","4",236,184,"-22.03389831","0","Handel"
187," Detailhandel mit Schreibwaren und Bürobedarf","476202","47","4",89,50,"-43.82022472","0","Handel"
188," Detailhandel mit bespielten Ton- und Bildträgern","476300","47","4",23,14,"-39.13043478","0","Handel"
189," Detailhandel mit Fahrrädern","476401","47","4",85,100,"17.64705882","3","Handel"
190," Detailhandel mit Sportartikeln","476402","47","4",252,259,"2.777777778","2","Handel"
191," Detailhandel mit Spielwaren","476500","47","4",65,50,"-23.07692308","0","Handel"
192," Detailhandel mit Damenbekleidung","477101","47","4",406,300,"-26.10837438","0","Handel"
193," Detailhandel mit Herrenbekleidung","477102","47","4",97,70,"-27.83505155","0","Handel"
194," Detailhandel mit Säuglings- und Kinderbekleidung","477103","47","4",13,23,"76.92307692","4","Handel"
195," Detailhandel mit Bekleidungszubehör und Bekleidung ohne ausgeprägten Schwerpunkt","477105","47","4",755,563,"-25.43046358","0","Handel"
196," Detailhandel mit Schuhen","477201","47","4",311,208,"-33.11897106","0","Handel"
197," Detailhandel mit Lederwaren und Reiseartikeln","477202","47","4",34,31,"-8.823529412","1","Handel"
198," Apotheken","477300","47","4",798,811,"1.629072682","2","Handel"
199," Detailhandel mit medizinischen und orthopädischen Artikeln","477400","47","4",36,15,"-58.33333333","0","Handel"
200," Drogerien","477501","47","4",99,103,"4.04040404","2","Handel"
201," Parfümerien und sonstiger Detailhandel mit kosmetischen Artikeln und Körperpflegemitteln","477502","47","4",193,175,"-9.32642487","1","Handel"
202," Detailhandel mit Blumen und Pflanzen","477602","47","4",135,117,"-13.33333333","1","Handel"
203," Detailhandel mit Haustieren und zoologischem Bedarf für Haustiere","477603","47","4",36,34,"-5.555555556","1","Handel"
204," Detailhandel mit Uhren und Schmuck","477700","47","4",293,222,"-24.23208191","0","Handel"
205," Detailhandel mit Brennstoffen und Heizmaterial","477801","47","4",10,12,"20","3","Handel"
206," Detailhandel mit Brillen und anderen Sehhilfen","477802","47","4",295,287,"-2.711864407","2","Handel"
207," Detailhandel mit fotografischen Artikeln","477803","47","4",13,15,"15.38461538","3","Handel"
208," Detailhandel mit Geschenkartikeln und Souvenirs","477804","47","4",36,15,"-58.33333333","0","Handel"
209," Kunsthandel","477805","47","4",113,114,"0.884955752","2","Handel"
210," Sonstiger Fachdetailhandel a. n. g. (in Verkaufsräumen)","477806","47","4",88,67,"-23.86363636","0","Handel"
211," Detailhandel mit Antiquitäten","477901","47","4",38,19,"-50","0","Handel"
212," Detailhandel mit Gebrauchtwaren a. n. g. (in Verkaufsräumen)","477902","47","4",115,118,"2.608695652","2","Handel"
213," Detailhandel mit Nahrungs- und Genussmitteln, Getränken und Tabakwaren an Verkaufsständen und auf Märkten","478100","47","4",16,9,"-43.75","0","Handel"
214," Detailhandel mit sonstigen Gütern an Verkaufsständen und auf Märkten","478900","47","4",10,6,"-40","0","Handel"
215," Versand- und Internet-Detailhandel","479100","47","4",92,124,"34.7826087","4","Handel"
216," Sonstiger Detailhandel, nicht in Verkaufsräumen, an Verkaufsständen oder auf Märkten","479900","47","4",14,15,"7.142857143","3","Handel"
217," Personenbeförderung im Eisenbahnfernverkehr","491000","49","4",1292,1260,"-2.476780186","2","Dienstleistungen"
218," Güterbeförderung im Eisenbahnverkehr","492000","49","4",81,61,"-24.69135802","0","Dienstleistungen"
219," Personenbeförderung im Nahverkehr zu Lande (ohne Taxis)","493100","49","4",1105,1263,"14.29864253","3","Dienstleistungen"
220," Betrieb von Taxis","493200","49","4",560,357,"-36.25","0","Dienstleistungen"
221," Nicht-regelmässiger Personenbeförderung im Landverkehr","493901","49","4",27,20,"-25.92592593","0","Dienstleistungen"
222," Regelmässige Personenbeförderung im Regional- und Fernverkehr","493902","49","4",88,55,"-37.5","0","Dienstleistungen"
223," Güterbeförderung im Strassenverkehr","494100","49","4",989,953,"-3.640040445","2","Dienstleistungen"
224," Umzugstransporte","494200","49","4",151,140,"-7.284768212","1","Dienstleistungen"
225," Personenbeförderung in der See- und Küstenschifffahrt","501000","50","5",12,6,"-50","0","Dienstleistungen"
226," Güterbeförderung in der See- und Küstenschifffahrt","502000","50","5",8,8,"0","2","Dienstleistungen"
227," Personenbeförderung in der Binnenschifffahrt","503000","50","5",1059,1005,"-5.099150142","1","Dienstleistungen"
228," Güterbeförderung in der Binnenschifffahrt","504000","50","5",339,260,"-23.30383481","0","Dienstleistungen"
229," Personenbeförderung in der Luftfahrt","511000","51","5",796,856,"7.537688442","3","Dienstleistungen"
230," Güterbeförderung in der Luftfahrt","512100","51","5",8,6,"-25","0","Dienstleistungen"
231," Lagerung","521000","52","5",173,63,"-63.58381503","0","Dienstleistungen"
232," Erbringung von sonstigen Dienstleistungen für den Landverkehr","522100","52","5",65,86,"32.30769231","4","Dienstleistungen"
233," Erbringung von sonstigen Dienstleistungen für die Schifffahrt","522200","52","5",117,147,"25.64102564","4","Dienstleistungen"
234," Erbringung von sonstigen Dienstleistungen für die Luftfahrt","522300","52","5",700,680,"-2.857142857","2","Dienstleistungen"
235," Frachtumschlag","522400","52","5",34,20,"-41.17647059","0","Dienstleistungen"
236," Erbringung von sonstigen Dienstleistungen für den Verkehr a. n. g.","522900","52","5",2228,2017,"-9.47037702","1","Dienstleistungen"
237," Postdienste von Universaldienstleistungsanbietern","531000","53","5",647,515,"-20.40185471","0","Dienstleistungen"
238," Sonstige Post-, Kurier- und Expressdienste","532000","53","5",1320,1331,"0.833333333","2","Dienstleistungen"
239," Hotels, Gasthöfe und Pensionen mit Restaurant","551001","55","5",1630,1196,"-26.62576687","0","Gastronomie"
240," Hotels, Gasthöfe und Pensionen ohne Restaurant","551002","55","5",93,86,"-7.52688172","1","Gastronomie"
241," Verwaltung von Hotels, Gasthöfen und Pensionen","551003","55","5",20,13,"-35","0","Gastronomie"
242," Ferienwohnungen, Ferienhäuser","552001","55","5",43,31,"-27.90697674","0","Gastronomie"
243," Sonstige Beherbergungsstätten","559000","55","5",9,10,"11.11111111","3","Gastronomie"
244," Restaurants, Imbissstuben, Tea-Rooms und Gelaterias","561001","56","5",4830,4514,"-6.542443064","1","Gastronomie"
245," Event-Caterer","562100","56","5",2140,405,"-81.07476636","0","Gastronomie"
246," Erbringung sonstiger Verpflegungsdienstleistungen","562900","56","5",1043,929,"-10.93000959","1","Gastronomie"
247," Bars","563001","56","5",592,482,"-18.58108108","1","Gastronomie"
248," Diskotheken, Dancings, Night Clubs","563002","56","5",170,118,"-30.58823529","0","Gastronomie"
249," Verlegen von Büchern","581100","58","5",162,175,"8.024691358","3","Kreativwirtschaft"
250," Verlegen von Zeitungen","581300","58","5",348,159,"-54.31034483","0","Kreativwirtschaft"
251," Verlegen von Zeitschriften","581400","58","5",362,408,"12.70718232","3","Kreativwirtschaft"
252," Sonstiges Verlagswesen (ohne Software)","581900","58","5",85,112,"31.76470588","4","Kreativwirtschaft"
253," Herstellung von Filmen, Videofilmen und Fernsehprogrammen","591100","59","5",197,208,"5.583756345","3","Kreativwirtschaft"
254," Nachbearbeitung und sonstige Filmtechnik","591200","59","5",5,4,"-20","1","Kreativwirtschaft"
255," Filmverleih und -vertrieb (ohne Videotheken)","591300","59","5",7,19,"171.4285714","4","Kreativwirtschaft"
256," Kinos","591400","59","5",119,95,"-20.16806723","0","Kreativwirtschaft"
257," Tonstudios, Herstellung von Radiobeiträgen, Verlegen von bespielten Tonträgern und Musikalien","592000","59","5",79,79,"0","2","Kreativwirtschaft"
258," Radioveranstalter","601000","60","6",276,381,"38.04347826","4","Kreativwirtschaft"
259," Fernsehveranstalter","602000","60","6",112,106,"-5.357142857","1","Kreativwirtschaft"
260," Leitungsgebundene Telekommunikation","611000","61","6",566,531,"-6.183745583","1","Dienstleistungen"
